PERIODO,ENTIDAD,MINIMA,MEDIA,MAXIMA,PRECIPITACION
1985-01-01T00:00:00,Estado de México,3,11.8,20.6,3.5
1985-02-01T00:00:00,Estado de México,3.9,13,22.1,2.5
1985-03-01T00:00:00,Estado de México,4.9,14.4,23.8,10.7
1985-04-01T00:00:00,Estado de México,7.7,16.1,24.6,31.6
1985-05-01T00:00:00,Estado de México,9.1,16.8,24.5,54.3
1985-06-01T00:00:00,Estado de México,10.2,16,21.9,200.4
1985-07-01T00:00:00,Estado de México,9.2,15.3,21.4,140.4
1985-08-01T00:00:00,Estado de México,9.1,15.5,21.8,153.2
1985-09-01T00:00:00,Estado de México,8.9,15.5,22.2,121.5
1985-10-01T00:00:00,Estado de México,7.8,14.9,22,35.2
1985-11-01T00:00:00,Estado de México,5.8,13.9,22.1,17.4
1985-12-01T00:00:00,Estado de México,4.5,12.7,20.9,6.3
1986-01-01T00:00:00,Estado de México,2.6,11.8,21.1,0.1
1986-02-01T00:00:00,Estado de México,3.9,13,22.2,1.5
1986-03-01T00:00:00,Estado de México,4.7,14,23.3,1.9
1986-04-01T00:00:00,Estado de México,7.5,16.2,24.8,37.7
1986-05-01T00:00:00,Estado de México,9,16.8,24.6,95.1
1986-06-01T00:00:00,Estado de México,10.2,16.3,22.4,176.7
1986-07-01T00:00:00,Estado de México,9.7,15.7,21.8,117.1
1986-08-01T00:00:00,Estado de México,9.5,15.9,22.4,111.3
1986-09-01T00:00:00,Estado de México,9.6,16.3,23,90.1
1986-10-01T00:00:00,Estado de México,7,14.6,22.2,47.3
1986-11-01T00:00:00,Estado de México,6,14.1,22.2,12.7
1986-12-01T00:00:00,Estado de México,4.6,13.1,21.6,7.8
1987-01-01T00:00:00,Estado de México,2.9,12.2,21.5,1.5
1987-02-01T00:00:00,Estado de México,4.6,13.6,22.6,4.7
1987-03-01T00:00:00,Estado de México,6.1,14.6,23.1,10.4
1987-04-01T00:00:00,Estado de México,7.7,16.3,25,25.6
1987-05-01T00:00:00,Estado de México,8.8,17.4,26,41.1
1987-06-01T00:00:00,Estado de México,10.3,16.8,23.3,149.1
1987-07-01T00:00:00,Estado de México,10.4,16.3,22.1,220.9
1987-08-01T00:00:00,Estado de México,10.2,16.3,22.5,158.7
1987-09-01T00:00:00,Estado de México,9.5,16.1,22.8,107.1
1987-10-01T00:00:00,Estado de México,6.7,14.5,22.3,7.9
1987-11-01T00:00:00,Estado de México,5,13.8,22.6,12.8
1987-12-01T00:00:00,Estado de México,4.3,13.1,21.9,1.4
1988-01-01T00:00:00,Estado de México,3.2,12.5,21.7,2.2
1988-02-01T00:00:00,Estado de México,4.4,13.5,22.7,4.6
1988-03-01T00:00:00,Estado de México,5.4,14.3,23.3,31.7
1988-04-01T00:00:00,Estado de México,7.2,16.2,25.2,8.5
1988-05-01T00:00:00,Estado de México,8.8,17.6,26.3,25.3
1988-06-01T00:00:00,Estado de México,10.2,17,23.8,159.8
1988-07-01T00:00:00,Estado de México,10,16.1,22.2,207
1988-08-01T00:00:00,Estado de México,10.2,16.1,22.1,214
1988-09-01T00:00:00,Estado de México,9.5,15.4,21.4,161.2
1988-10-01T00:00:00,Estado de México,7.2,14.6,22,30.1
1988-11-01T00:00:00,Estado de México,5.3,14,22.8,10.5
1988-12-01T00:00:00,Estado de México,4,12.4,20.9,1.7
1989-01-01T00:00:00,Estado de México,3.6,12.5,21.5,0.9
1989-02-01T00:00:00,Estado de México,4,12.8,21.6,1.6
1989-03-01T00:00:00,Estado de México,4.9,14,23.2,1.7
1989-04-01T00:00:00,Estado de México,6.9,15.7,24.5,10
1989-05-01T00:00:00,Estado de México,8.8,16.8,24.8,56.1
1989-06-01T00:00:00,Estado de México,9.7,16.4,23.2,111.4
1989-07-01T00:00:00,Estado de México,9.5,15.5,21.4,124.9
1989-08-01T00:00:00,Estado de México,9.7,15.6,21.5,213.1
1989-09-01T00:00:00,Estado de México,9.5,15.2,20.9,136.6
1989-10-01T00:00:00,Estado de México,7.6,14.5,21.4,58.3
1989-11-01T00:00:00,Estado de México,5.8,13.9,21.9,23.6
1989-12-01T00:00:00,Estado de México,3.6,12.1,20.6,12.6
1990-01-01T00:00:00,Estado de México,3.4,12.2,21,6.5
1990-02-01T00:00:00,Estado de México,4.3,12.9,21.6,9.8
1990-03-01T00:00:00,Estado de México,5.5,14.9,24.4,12.9
1990-04-01T00:00:00,Estado de México,7.5,16.4,25.4,27.3
1990-05-01T00:00:00,Estado de México,8.9,16.9,24.9,88.5
1990-06-01T00:00:00,Estado de México,9.4,16.1,22.9,154.4
1990-07-01T00:00:00,Estado de México,9.4,15.1,20.9,273.6
1990-08-01T00:00:00,Estado de México,9.1,15.4,21.7,216.6
1990-09-01T00:00:00,Estado de México,9.1,15,20.9,187.5
1990-10-01T00:00:00,Estado de México,8.1,14.5,20.8,114.8
1990-11-01T00:00:00,Estado de México,5.4,13.2,21,13
1990-12-01T00:00:00,Estado de México,3.7,12.2,20.7,10.4
1991-01-01T00:00:00,Estado de México,3.7,11.7,19.8,11.2
1991-02-01T00:00:00,Estado de México,3.8,12.5,21.2,2.9
1991-03-01T00:00:00,Estado de México,5.6,15.2,24.9,0
1991-04-01T00:00:00,Estado de México,7.1,15.9,24.8,11.5
1991-05-01T00:00:00,Estado de México,8.3,16.1,24,42.8
1991-06-01T00:00:00,Estado de México,9.2,16.2,23.2,183.5
1991-07-01T00:00:00,Estado de México,9,15.2,21.4,258.7
1991-08-01T00:00:00,Estado de México,8.9,15.3,21.8,147.6
1991-09-01T00:00:00,Estado de México,8.9,14.9,21,161.4
1991-10-01T00:00:00,Estado de México,7.6,14.1,20.6,106.1
1991-11-01T00:00:00,Estado de México,5.3,12.8,20.3,24.4
1991-12-01T00:00:00,Estado de México,4,12.3,20.7,12.5
1992-01-01T00:00:00,Estado de México,4.1,11.8,19.6,42.6
1992-02-01T00:00:00,Estado de México,3.5,12.4,21.3,27.9
1992-03-01T00:00:00,Estado de México,5.2,14.3,23.5,17.9
1992-04-01T00:00:00,Estado de México,6.6,15.2,23.9,16.2
1992-05-01T00:00:00,Estado de México,7.7,15.6,23.5,112.4
1992-06-01T00:00:00,Estado de México,9.2,16.3,23.3,67.3
1992-07-01T00:00:00,Estado de México,9,15.3,21.6,131.7
1992-08-01T00:00:00,Estado de México,9,15.3,21.5,175.6
1992-09-01T00:00:00,Estado de México,9.1,15,21,244
