scale_k,model,Accuracy,F1_macro,n_test,classes_train,AUC_ovr
3,ANN,0.8771929824561403,0.5501165501165501,57,"0,1,2,3,4",
3,CatBoost,0.8421052631578947,0.5124875124875125,57,"0,1,2,3,4",
3,XGBoost,0.8070175438596491,0.4865792759051186,57,"0,1,2,3,4",
3,RF,0.7894736842105263,0.4628019323671498,57,"0,1,2,3,4",
3,SVM,0.7017543859649122,0.3763254289570079,57,"0,1,2,3,4",
6,XGBoost,0.7368421052631579,0.6907775768535263,57,"0,1,2,3,4",
6,CatBoost,0.7192982456140351,0.638095238095238,57,"0,1,2,3,4",
6,RF,0.6842105263157895,0.5515734265734266,57,"0,1,2,3,4",
6,ANN,0.6491228070175439,0.5476190476190476,57,"0,1,2,3,4",
6,SVM,0.6666666666666666,0.4114353079870321,57,"0,1,2,3,4",
12,XGBoost,0.9122807017543859,0.9105180533751962,57,"0,3,4",
12,CatBoost,0.8771929824561403,0.8732931089234678,57,"0,3,4",
12,RF,0.8596491228070176,0.8542199488491049,57,"0,3,4",
12,SVM,0.7543859649122807,0.7304054054054054,57,"0,3,4",
12,ANN,0.7719298245614035,0.5073059360730593,57,"0,3,4",
