scale_k,model,CRPS,PI90_coverage,PI90_width,n_test,Brier_severe_or_worse
3,RF,0.3371699894206799,0.3684210526315789,0.8032700956055826,57,
3,XGBoost,0.3110012959584382,0.5614035087719298,0.788193590322248,57,
3,ANN,,,,57,0.017543729681545772
3,SVM,,,,57,0.01767334180010775
3,RF,,,,57,0.02054108666043416
3,XGBoost,,,,57,0.01797756321709153
3,CatBoost,,,,57,0.018058670190776203
6,RF,0.39345081660828635,0.3508771929824561,0.9726566401873183,57,
6,XGBoost,0.37788500896146016,0.43859649122807015,1.1756448751119404,57,
6,ANN,,,,57,0.000920520785007127
6,SVM,,,,57,0.021519125149559403
6,RF,,,,57,0.012685647148364428
6,XGBoost,,,,57,0.009097615166494558
6,CatBoost,,,,57,0.006441521395786618
12,RF,0.04230298652903108,0.6140350877192983,0.33317290646836745,57,
12,XGBoost,0.0487892939715594,0.7017543859649122,0.2619462406230077,57,
12,ANN,,,,57,0.006754043579158908
12,SVM,,,,57,0.001448571021069824
12,RF,,,,57,0.004001019209531765
12,XGBoost,,,,57,0.00011359591076578341
12,CatBoost,,,,57,0.00042099002672277817
