scale_k,model,model_type,RMSE,MAE,NSE,KGE,n_test
3,SVM,ML,0.7708098440373177,0.37128299752117405,0.12504720864209928,0.22835304489879749,57
3,RF,ML,0.7823604756886905,0.37619673231629075,0.0986282963249967,0.22358206999269759,57
3,XGBoost,ML,0.8839048343029897,0.4084313471164889,-0.1505384435221726,0.16375998570479267,57
3,Persistence,Baseline,1.0707153665790152,0.4367623431272217,-0.6882555549042875,0.1560646377021212,57
3,CatBoost,ML,0.8338985405990341,0.38122753942902576,-0.024039110646739692,0.06776926576785003,57
3,Climatology,Baseline,0.9886876923654261,0.5589337895038476,-0.4394890711540309,-0.1562824739432167,57
3,ANN,ML,1.3451646007620932,0.8201031407308133,-1.6646549284390608,-0.46009111084502674,57
6,Persistence,Baseline,0.4041421092378583,0.2611027014323431,0.1461688352074051,0.5874032351079901,57
6,SVM,ML,0.620824887850026,0.45951453700709144,-1.0148468120606724,-0.09511764645447851,57
6,Climatology,Baseline,0.7758487460954616,0.5207829490227687,-2.1467186937276677,-0.6052412059932719,57
6,CatBoost,ML,0.9579124081338994,0.6184052979777109,-3.79684176731804,-2.9158853751468645,57
6,ANN,ML,1.191382307753074,0.7330474549906355,-6.420037290929196,-4.018639711076192,57
6,RF,ML,1.1213442246051137,0.6488719197250041,-5.573273401108836,-4.676848604792418,57
6,XGBoost,ML,1.2361428794341085,0.7173051387824121,-6.988056685225841,-6.930020268937365,57
12,Persistence,Baseline,0.05256774212620875,0.03983147448737526,0.32250595847435415,0.6575693315302453,57
12,RF,ML,0.055520985078705294,0.035355621526031535,0.24424477489670193,0.6449396419668214,57
12,CatBoost,ML,0.06852425933981107,0.05000984585564795,-0.15121259565898493,0.4644980022826478,57
12,Climatology,Baseline,0.2624561587289784,0.25582788962946584,-15.88808355720991,0.2884460169244921,57
12,XGBoost,ML,0.18557599948094425,0.09132640673650537,-7.4432655604730265,-1.0098067285072574,57
12,SVM,ML,0.2688086209346801,0.20416673262462204,-16.715491999094667,-2.514290851565737,57
12,ANN,ML,0.7260226029405736,0.5387151546568307,-128.23112224114456,-4.932754825439422,57
