feature,mean_abs_shap
P_roll12,0.2629395191211428
T_roll12,0.17073387433715018
TMIN_anom,0.07719182245745826
TMAX_lag3,0.016936964652947622
T_lag5,0.01375022873806397
P,0.011203863154807333
T_anom,0.009721732055956653
T_lag6,0.009668814347035374
TMAX,0.009487425878334378
YEAR,0.008068175709091168
TMIN_lag5,0.007337647380549433
TMAX_lag4,0.0069149417413298065
TMAX_lag1,0.005411177696517994
TMIN_lag6,0.005178399926430517
TMAX_lag2,0.0051650042134316915
P_roll6,0.004454332814013643
T,0.0038739235086043336
TMIN,0.003589430134368805
MONTH,0.0029713799185258705
P_lag4,0.002934546551403704
TMIN_lag1,0.002655577763697327
PET,0.0025822636434063577
P_lag2,0.002490170508655961
TMAX_anom,0.002304732026804342
T_lag3,0.002213060984494516
P_roll3,0.0021434669667089287
P_lag1,0.0019893937431614875
TMAX_lag5,0.0017933585937733273
T_roll6,0.001556921967547472
T_lag4,0.0014801812027224258
P_anom,0.0013958134325618612
P_lag3,0.0013224299874814514
TMIN_lag4,0.0012835268027322601
month_cos,0.0012182324363740854
P_lag5,0.0011572935973732743
P_lag6,0.0010991192320053463
TMIN_lag2,0.0008525248655330457
month_sin,0.0008211874545293285
T_roll3,0.0006181173181571548
T_lag2,0.00060374727433427
T_lag1,0.0004965567971698635
TMAX_lag6,0.00048479400431341137
TMIN_lag3,0.0003472408789378422
